DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Apr-2026,Rank_Apr-2026,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Columnar,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,NoSQL,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Spatial DBMS,Vector DBMS,DBMS_urnform
Datameer,Document,Document store,https://db-engines.com/en/system/Datameer,N,,-,1.07,185,-,-,,2009,,N,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,datameer
KurrentDB (aka EventStoreDB),Event,"Event Store,Document store,Time Series DBMS",https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,,,,1.05,186,,,"Kurrent, Inc. (aka EventStoreDB)",2012,2025,source available,,N,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,kurrentdb-aka-eventstoredb
Giraph,Graph,Graph DBMS,https://db-engines.com/en/system/Giraph,Y,,apache/giraph,1.05,187,apache,giraph,,2013,2020,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,giraph
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,1.0,188,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,nonstop-sql
Arc,Time Series,Time Series DBMS,https://db-engines.com/en/system/Arc,,,,0.98,189,,,,,,agpl-3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,arc
Xapian,Search Engine,Search engine,https://db-engines.com/en/system/Xapian,Y,,xapian/xapian,0.98,190,xapian,xapian,,1986,2024,Y,GPLv2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,xapian
Alibaba Cloud MaxCompute,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,N,,-,0.96,191,-,-,Alibaba,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,alibaba-cloud-maxcompute
GT.M,Key-value,Key-value store,https://db-engines.com/en/system/GT.M,N,,-,0.94,192,-,-,,1986,2021,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,gtm
Vespa,Search Engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Vespa,Y,,vespa-engine/vespa,0.94,193,vespa-engine,vespa,Yahoo,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,vespa
mSQL,Relational,Relational DBMS,https://db-engines.com/en/system/mSQL,N,,-,0.94,194,-,-,Hughes Technologies,1994,2021,N,free licenses can be provided,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,msql
NCache,Key-value,"Key-value store,Document store,Search engine",https://db-engines.com/en/system/NCache,Y,,Alachisoft/NCache,0.93,195,Alachisoft,NCache,Alachisoft,2005,2024,Y,Enterprise Edition available,N,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,ncache
Oracle Rdb,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Rdb,N,,-,0.92,196,-,-,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,oracle-rdb
Dolt,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Dolt,Y,Y,dolthub/dolt,0.9,197,dolthub,dolt,DoltHub Inc,2018,,Y,Apache Version 2.0,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,dolt
FoundationDB,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/FoundationDB,Y,,apple/foundationdb,0.9,198,apple,foundationdb,FoundationDB,2013,2020,Y,Apache 2.0,N,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,foundationdb
Apache HAWQ,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,0.88,199,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,apache-hawq
GigaSpaces,Document,"Document store,Object oriented DBMS,Graph DBMS,Search engine",https://db-engines.com/en/system/GigaSpaces,N_Image_Gigaspaces/docker,Y,-,0.88,200,-,-,Gigaspaces Technologies,2000,2020,Y,Apache Version 2; Commercial licenses available,N,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,gigaspaces
DataEase,Relational,Relational DBMS,https://db-engines.com/en/system/DataEase,N,,-,0.88,201,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,dataease
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,0.87,202,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,cubrid
M3DB,Time Series,Time Series DBMS,https://db-engines.com/en/system/M3DB,Y,,m3db/m3,0.85,203,m3db,m3,,,,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,m3db
Alibaba Cloud AnalyticDB for MySQL,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,N,,-,0.78,204,-,-,Alibaba,,,N,,Y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,alibaba-cloud-analyticdb-for-mysql
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,0.78,205,ALTIBASE,altibase,Altibase,1999,2023,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,altibase
HPE Ezmeral Data Fabric,Document,"Document store,Wide column store",https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,N,,-,0.78,206,-,-,"HPE, MapR Technologies, Inc",2009,,N,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,hpe-ezmeral-data-fabric
Sedna,Native XML,Native XML DBMS,https://db-engines.com/en/system/Sedna,Y,,sedna/sedna,0.77,207,sedna,sedna,,2006,,Y,Apache Version 2,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,sedna
NuoDB,Relational,Relational DBMS,https://db-engines.com/en/system/NuoDB,N,,-,0.77,208,-,-,Dassault Systèmes,2013,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,nuodb
GeoMesa,Spatial,Spatial DBMS,https://db-engines.com/en/system/GeoMesa,Y,,geomesa/geomesa-geoserver,0.77,209,geomesa,geomesa-geoserver,CCRi and others,2014,2024,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,geomesa
IDMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IDMS,N,,-,0.76,210,-,-,Broadcom (formerly CA Technologies),1973,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,idms
Yellowbrick,Relational,Relational DBMS,https://db-engines.com/en/system/Yellowbrick,N,,-,0.74,211,-,-,Yellowbrick Data,,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,yellowbrick
AllegroGraph,Document,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",https://db-engines.com/en/system/AllegroGraph,N,,-,0.74,212,-,-,Franz Inc.,2004,2023,N,Limited community edition free,N,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1.0,0.0,allegrograph
ZODB,Key-value,Key-value store,https://db-engines.com/en/system/ZODB,Y,,zopefoundation/ZODB,0.73,213,zopefoundation,ZODB,,2009,2023,Y,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,zodb
Infobright,Relational,Relational DBMS,https://db-engines.com/en/system/Infobright,N,,-,0.73,214,-,-,Ignite Technologies Inc.; formerly InfoBright Inc.,2005,,N,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,infobright
Blazegraph,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Blazegraph,Y,,blazegraph/database,0.73,215,blazegraph,database,Blazegraph,2006,2019,Y,extended commercial license available,N,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,blazegraph
Apache Sedona,Spatial,Spatial DBMS,https://db-engines.com/en/system/Apache+Sedona,Y,,apache/sedona,0.71,216,apache,sedona,Apache Software Foundation and contributors,2020,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,,apache-sedona
KeyDB,Key-value,Key-value store,https://db-engines.com/en/system/KeyDB,Y,,Snapchat/KeyDB,0.7,217,Snapchat,KeyDB,EQ Alpha Technology Ltd.,2019,,Y,BSD-3,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,keydb
RisingWave,Relational,Relational DBMS,https://db-engines.com/en/system/RisingWave,Y,,risingwavelabs/risingwave,0.7,218,risingwavelabs,risingwave,RisingWave Labs,2022,2025,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,risingwave
BigchainDB,Document,Document store,https://db-engines.com/en/system/BigchainDB,Y,,bigchaindb/bigchaindb,0.7,219,bigchaindb,bigchaindb,,2016,,Y,AGPL v3,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,bigchaindb
MatrixOne,Relational,Relational DBMS,https://db-engines.com/en/system/MatrixOne,Y,,matrixorigin/matrixone,0.7,220,matrixorigin,matrixone,,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,matrixone
SciDB,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/SciDB,Y,,cran/scidb,0.7,221,cran,scidb,Paradigm4,2008,,Y,,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,scidb
Model 204,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Model+204,N,,-,0.69,222,-,-,,1972,,N,,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,model-204
eXist-db,Native XML,Native XML DBMS,https://db-engines.com/en/system/eXist-db,Y,,eXist-db/exist,0.65,223,eXist-db,exist,,2000,,Y,L-GPL,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,exist-db
Actian Vector,Relational,Relational DBMS,https://db-engines.com/en/system/Actian+Vector,N,,-,0.65,224,-,-,,,2016,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,actian-vector
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,0.64,225,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,firebolt
RDF4J,RDF,RDF store,https://db-engines.com/en/system/RDF4J,Y,Y,eclipse/rdf4j,0.63,226,eclipse,rdf4j,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",2004,,Y,"Eclipse Distribution License (EDL), v1.0.",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,rdf4j
Datacom/DB,Relational,Relational DBMS,https://db-engines.com/en/system/Datacom%2FDB,N,,-,0.63,227,-,-,Broadcom (formerly CA),1972,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,datacom-db
Alibaba Cloud AnalyticDB for PostgreSQL,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,N,,-,0.62,228,-,-,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,alibaba-cloud-analyticdb-for-postgresql
TypeDB,Graph,"Graph DBMS,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/TypeDB,Y,,vaticle/typedb,0.62,229,vaticle,typedb,TypeDB,2016,2025,Y,"GPL Version 3, commercial licenses available",N,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,typedb
Objectivity/DB,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/Objectivity%2FDB,N,,-,0.61,231,-,-,,1990,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,objectivity-db
Apache Pinot,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Pinot,Y,N,apache/pinot,0.61,232,apache,pinot,Apache Software Foundation and contributors,2015,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,apache-pinot
CrateDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/CrateDB,Y,,crate/crate,0.6,233,crate,crate,Crate,2013,2024,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.0,0.0,cratedb
Graph Engine,Graph,"Graph DBMS,Key-value store",https://db-engines.com/en/system/Graph+Engine,Y,,microsoft/GraphEngine,0.58,234,microsoft,GraphEngine,Microsoft,2010,,Y,MIT License,N,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,graph-engine
BoltDB,Key-value,Key-value store,https://db-engines.com/en/system/BoltDB,Y_archivedas_boltdb/bolt,N,boltdb/bolt,0.58,235,boltdb,bolt,,2013,,Y,MIT License,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,boltdb
DBISAM,Relational,Relational DBMS,https://db-engines.com/en/system/DBISAM,N,,-,0.58,236,-,-,"Elevate Software, Inc.",1998,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,dbisam
R:BASE,Relational,Relational DBMS,https://db-engines.com/en/system/R%3ABASE,N,,-,0.57,237,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,r-base
SQream DB,Relational,Relational DBMS,https://db-engines.com/en/system/SQream+DB,N,,-,0.57,238,-,-,SQream Technologies,2017,2022,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sqream-db
Dragonfly,Key-value,Key-value store,https://db-engines.com/en/system/Dragonfly,Y,,dragonflydb/dragonfly,0.56,239,dragonflydb,dragonfly,DragonflyDB team and community contributors,2023,2023,Y,BSL 1.1,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,dragonfly
1010data,Relational,Relational DBMS,https://db-engines.com/en/system/1010data,N,,-,0.56,240,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1010data
solidDB,Relational,Relational DBMS,https://db-engines.com/en/system/solidDB,N,,-,0.55,241,-,-,"Unicom Systems, Inc; IBM",1992,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,soliddb
Percona Server for MongoDB,Document,Document store,https://db-engines.com/en/system/Percona+Server+for+MongoDB,Y_replacementfor_MongoDB,N,percona/percona-server-mongodb,0.54,242,percona,percona-server-mongodb,Percona,2015,2017,Y,GPL Version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,percona-server-for-mongodb
Splice Machine,Relational,Relational DBMS,https://db-engines.com/en/system/Splice+Machine,Y,,splicemachine/spliceengine,0.53,243,splicemachine,spliceengine,Splice Machine,2014,2021,Y,"AGPL 3.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,splice-machine
KairosDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/KairosDB,Y,,kairosdb/kairosdb,0.53,244,kairosdb,kairosdb,,2013,2018,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,kairosdb
ObjectDB,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectDB,N,,-,0.53,245,-,-,,2010,2024,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,objectdb
FrontBase,Relational,Relational DBMS,https://db-engines.com/en/system/FrontBase,N,,-,0.52,246,-,-,,1993,2015,N,free licenses,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,frontbase
Kinetica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Kinetica,N,,-,0.51,247,-,-,Kinetica,2012,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,kinetica
ITTIA,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/ITTIA,N,,-,0.5,248,-,-,ITTIA L.L.C.,2007,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,ittia
eXtremeDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/eXtremeDB,N,,-,0.49,249,-,-,McObject,2001,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,extremedb
Alibaba Cloud Log Service,Search Engine,Search engine,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,N,,-,0.49,250,-,-,AlibabaCloud Inc.,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,alibaba-cloud-log-service
NexusDB,Relational,Relational DBMS,https://db-engines.com/en/system/NexusDB,N,,-,0.48,251,-,-,,2003,2021,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,nexusdb
Perst,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/Perst,Y,,The-Alchemist/perst,0.48,252,The-Alchemist,perst,,2003,,Y,commercial license available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,perst
atoti,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/atoti,Y_IssueTracking,,atoti/atoti,0.47,253,atoti,atoti,ActiveViam,,,N,free versions available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,atoti
Kingbase,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Kingbase,N,,-,0.45,254,-,-,BeiJing KINGBASE Information technologies inc.,1999,2021,N,,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,kingbase
MapDB,Key-value,Key-value store,https://db-engines.com/en/system/MapDB,Y,,jankotek/mapdb,0.44,255,jankotek,mapdb,,2002,,Y,Apache Version 2,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,mapdb
ScaleArc,Relational,Relational DBMS,https://db-engines.com/en/system/ScaleArc,N,,-,0.43,256,-,-,Ignite,2009,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,scalearc
Scalaris,Key-value,Key-value store,https://db-engines.com/en/system/Scalaris,Y,N,scalaris-team/scalaris,0.43,257,scalaris-team,scalaris,,2010,,Y,Apache Version 2,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,scalaris
Cloudflare Workers KV,Key-value,Key-value store,https://db-engines.com/en/system/Cloudflare+Workers+KV,N,,-,0.42,258,-,-,Cloudflare,2018,,N,,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,cloudflare-workers-kv
WebSphere eXtreme Scale,Key-value,Key-value store,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,N,,-,0.42,259,-,-,,2009,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,websphere-extreme-scale
YDB,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/YDB,Y,N,ydb-platform/ydb,0.42,260,ydb-platform,ydb,Yandex,2019,,Y,Apache 2.0; commercial license available,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,ydb
VistaDB,Relational,Relational DBMS,https://db-engines.com/en/system/VistaDB,N,,-,0.4,261,-,-,Gibraltar Software,2008,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,vistadb
Kyligence Enterprise,Relational,Relational DBMS,https://db-engines.com/en/system/Kyligence+Enterprise,N,,-,0.4,262,-,-,"Kyligence, Inc.",2016,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,kyligence-enterprise
GemStone/S,Object Oriented,Object oriented DBMS,https://db-engines.com/en/system/GemStone%2FS,N,,-,0.39,263,-,-,,1986,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,gemstone-s
OpenInsight,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/OpenInsight,N,,-,0.39,264,-,-,Revelation Software,1992,2018,N,,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,openinsight
Elassandra,Wide column,"Wide column store,Search engine",https://db-engines.com/en/system/Elassandra,Y,,strapdata/elassandra,0.38,265,strapdata,elassandra,,,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,elassandra
Apache Doris,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Doris,Y,Y,apache/doris,0.37,266,apache,doris,"Apache Software Foundation, originally contributed from Baidu",2017,2026,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,apache-doris
SQL.JS,Relational,Relational DBMS,https://db-engines.com/en/system/SQL.JS,Y,,sql-js/sql.js,0.36,267,sql-js,sql.js,Alon Zakai,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sqljs
Deep Lake,Vector,Vector DBMS,https://db-engines.com/en/system/Deep+Lake,Y,,activeloopai/deeplake,0.36,268,activeloopai,deeplake,Activeloop,,,Y,MPL-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,deep-lake
Harper,Document,Document store,https://db-engines.com/en/system/Harper,,,,0.36,269,,,HarperDB,2017,2021,N,free community edition available,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,harper
LokiJS,Document,Document store,https://db-engines.com/en/system/LokiJS,Y,,techfort/LokiJS,0.36,270,techfort,LokiJS,,2014,,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,lokijs
RaptorDB,Document,Document store,https://db-engines.com/en/system/RaptorDB,Y,,mgholam/RaptorDB-Document,0.36,271,mgholam,RaptorDB-Document,,,,Y,Apache Version 2,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,raptordb
Comdb2,Relational,Relational DBMS,https://db-engines.com/en/system/Comdb2,Y,,bloomberg/comdb2,0.35,272,bloomberg,comdb2,Bloomberg Finance L.P.,2004,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,comdb2
Hibari,Key-value,Key-value store,https://db-engines.com/en/system/Hibari,Y,,hibari/hibari,0.35,273,hibari,hibari,,2005,,Y,Apache Version 2,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,hibari
AlaSQL,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/AlaSQL,Y,,AlaSQL/alasql,0.35,274,AlaSQL,alasql,Andrey Gershun & Mathias R. Wulff,2014,,Y,MIT-License,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,alasql
Marqo,Search Engine,Search engine,https://db-engines.com/en/system/Marqo,Y,,marqo-ai/marqo,0.34,275,marqo-ai,marqo,,2022,,Y,Apache Version 2.0,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,marqo
Fluree,Graph,Graph DBMS,https://db-engines.com/en/system/Fluree,Y,,fluree/db,0.34,276,fluree,db,"Fluree, PBC",2018,,Y,open-sourced in October 2020,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,fluree
CnosDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/CnosDB,Y,,cnosdb/cnosdb,0.34,277,cnosdb,cnosdb,,2022,2023,Y,AGPL 3.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,cnosdb
Rasdaman,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Rasdaman,Y,,dioptre/rasdaman,0.33,278,dioptre,rasdaman,,1998,2019,Y,extended commercial license available,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,rasdaman
Alibaba Cloud TSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,N,,-,0.33,279,-,-,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,alibaba-cloud-tsdb
Northgate Reality,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Northgate+Reality,N,,-,0.33,280,-,-,,1973,,N,,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,northgate-reality
InfiniteGraph,Graph,Graph DBMS,https://db-engines.com/en/system/InfiniteGraph,N,,-,0.31,281,-,-,,2010,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,infinitegraph
Sequoiadb,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Sequoiadb,Y,,SequoiaDB/SequoiaDB,0.31,282,SequoiaDB,SequoiaDB,Sequoiadb Ltd.,2013,,Y,Server: AGPL; Client: Apache V2,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,sequoiadb
SearchBlox,Search Engine,Search engine,https://db-engines.com/en/system/SearchBlox,N,,-,0.31,283,-,-,,2003,,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,searchblox
Databend,Relational,Relational DBMS,https://db-engines.com/en/system/Databend,Y,,datafuselabs/databend,0.3,284,datafuselabs,databend,Databend Labs,2021,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,databend
